alaag,amiddellaag,amiddelhoog,ahoog
8306,7950,6961,4692
2905,3004,2802,2264
4612,4905,4567,3612
2449,2386,2081,1360
7001,7015,6280,4474
761,776,718,569
6948,6971,6322,4723
2325,2546,2388,1906
1020,1159,1141,1038
4,5,5,4
135,132,122,96
804,878,837,705
589,592,529,371
49,52,47,34
405,426,383,269
47,79,94,116
407,394,347,236
977,946,828,551
197,212,198,156
90,88,78,54
269,274,248,182
77,76,68,49
345,350,315,225
85,112,114,107
181,194,183,150
3880,4074,3741,2839
30,90,131,205
41,38,34,25
57,61,58,46
50,54,51,42
353,390,375,325
154,161,149,116
1559,1525,1374,1020
1285,2198,2397,2487
947,882,785,578
1977,2397,2356,2073
1321,1505,1442,1209
5368,5767,5335,4106
60,66,62,48
133,156,154,137
160,152,133,90
155,175,170,148
98,121,119,105
487,884,1047,1273
1638,1872,1816,1578
475,543,526,457
151,196,204,204
85,106,105,96
207,229,214,167
266,344,358,359
619,691,659,551
204,247,251,244
733,781,725,568
628,685,645,523
9,14,16,17
17,18,17,14
2862,3850,4020,4009
936,1029,978,812
309,488,563,669
2769,3428,3413,3092
581,678,645,523
385,620,700,796
630,815,813,727
788,1220,1328,1404
214,414,503,635
64,105,119,137
835,920,870,711
280,336,327,280
1178,1470,1479,1373
26,31,30,26
2607,3473,3698,3874
3154,3513,3348,2788
1574,2194,2315,2341
1371,1842,1932,1948
3283,4875,5256,5497
2676,4549,5469,6908
4261,5753,5910,5648
1613,2361,2597,2849
59224,83862,89717,93374
7498,8901,8528,7006
2865,5264,5903,6431
965,1551,1773,2065
1524,1830,1818,1656
15761,15668,14116,10356
8108,12615,14474,17076
5164,5612,5374,4598
3435,3421,3091,2289
9543,9683,8821,6649
1148,2159,2569,3134
5880,8365,8981,9413
2183,4029,4707,5566
2806,2839,2613,2045
1102,1126,1013,726
952,1199,1219,1158
2022,2177,2027,1592
652,697,653,523
502,1012,1218,1503
194,319,348,363
633,861,893,873
548,690,712,704
569,741,748,691
679,1081,1237,1443
9,15,17,20
95,87,73,44
208,269,269,244
92,90,80,58
108,112,103,79
5,6,6,5
122,136,130,112
405,449,432,371
198,198,179,131
1914,2501,2629,2690
40,61,67,72
516,548,515,423
881,886,802,594
37,40,38,32
252,259,235,173
547,597,562,457
28,36,37,36
289,301,275,207
106,111,104,82
1557,1702,1595,1271
977,1009,926,708
3793,4173,3960,3275
3116,3496,3307,2679
3747,6087,6836,7656
10902,11094,10054,7423
2008,2815,2928,2855
1380,1388,1265,960
973,1029,955,750
880,1339,1527,1787
3040,3592,3545,3192
1662,2515,2703,2793
4821,5579,5483,4919
9506,13454,14248,14481
27569,39946,43229,45903
1700,2216,2285,2231
1369,1750,1740,1552
4609,5997,6190,6062
447,691,794,938
6762,7340,6918,5636
1347,1671,1639,1420
2162,2313,2161,1724
4257,6089,6503,6724
143,242,288,358
83,86,78,59
82,90,85,70
78,84,79,64
28,31,30,24
1090,1111,1016,774
1284,1456,1416,1242
90,95,89,72
55,58,55,46
126,133,126,105
64,85,90,94
127,156,157,146
120,136,131,112
30,30,28,22
33,33,29,20
17,25,27,29
905,1323,1435,1530
307,489,554,634
70,100,110,122
961,1007,927,712
161,269,305,348
18,30,35,40
900,894,793,547
56,69,68,62
114,143,144,135
162,174,160,121
817,962,949,855
100,141,148,146
414,672,759,860
698,978,1021,1003
1493,2244,2483,2743
161,247,267,277
442,658,700,710
1126,1701,1837,1921
609,935,1009,1046
3339,5254,5889,6614
473,944,1141,1418
396,651,739,843
264,516,605,715
431,610,646,657
3132,3588,3448,2908
512,685,704,677
167,314,387,501
255,404,450,496
96,151,166,179
810,1104,1166,1191
1399,1484,1396,1144
1144,1646,1783,1901
348,377,357,294
231,378,429,490
181,257,274,282
229,247,231,182
661,1071,1235,1458
156,260,293,328
143,172,170,152
2412,2593,2485,2141
4887,5224,4905,3979
4428,5181,5106,4594
2938,3062,2797,2094
26104,28412,25885,18694
93,124,121,100
2269,3975,4695,5718
1031,1086,966,647
2620,3949,4284,4529
4018,4169,3814,2882
437,742,844,963
2745,3799,3974,3946
901,922,852,670
238,285,284,261
37,40,37,29
86,82,71,45
13,15,14,11
138,152,146,126
521,597,574,484
4,7,8,9
291,404,425,425
32,50,54,56
94,139,151,161
31,36,33,26
663,933,999,1042
638,838,865,843
242,246,226,173
123,188,208,229
42,54,54,50
46,54,52,43
208,258,259,241
76,116,126,134
70,79,77,68
413,440,413,333
350,493,511,494
35,60,67,73
40,43,40,32
636,624,551,379
195,203,180,120
112,110,100,77
