Inw_Laag,Inw_Middellaag,Inw_Middelhoog,Inw_Hoog
3980,3411,5407,3959
7641,7641,7641,7641
3756,3219,4275,2345
5055,4333,10333,8860
1913,1640,3434,3867
7130,6111,10206,5954
991,849,1566,607
4606,3948,7329,5294
2479,2125,5050,3436
1093,937,2350,2145
7,6,8,4
275,235,312,157
837,718,1390,995
448,384,790,530
33,28,124,135
423,363,841,550
103,89,245,215
509,436,523,350
906,776,1353,1240
189,162,341,232
202,173,361,224
496,425,645,355
212,182,285,225
421,361,695,469
343,294,540,401
287,246,611,407
4450,3815,7354,3997
352,302,430,427
163,139,198,197
230,198,327,305
132,113,206,153
650,557,884,773
306,262,466,397
1103,945,1669,1473
3691,3164,4505,4473
1422,1219,2343,2728
3953,3388,6099,9986
1108,949,3705,3665
10246,8783,14679,17365
183,157,278,506
133,114,202,368
367,315,556,1012
319,273,483,879
478,409,723,1318
800,686,1212,2207
851,729,1288,2347
312,267,472,860
411,353,623,1135
199,171,301,549
206,176,312,568
656,562,994,1810
824,706,1247,2272
594,594,594,594
1237,1237,1237,1237
675,579,1002,1790
47,40,69,123
46,39,68,122
78,67,161,140
3144,2695,1851,1213
2559,2194,3117,1416
3009,2579,2932,2299
1718,1473,2048,1532
1719,1474,3520,3400
767,657,1312,1911
653,560,957,572
2175,1865,3188,1907
236,202,374,555
538,461,852,1267
469,402,825,718
1219,1045,2142,1866
115,99,203,177
3822,3822,3822,3822
3736,3203,6410,5159
2330,1997,3554,3084
3260,2795,5123,4347
3270,2803,11689,10829
8058,6907,8210,3463
3817,3272,7508,13678
2900,2486,4629,5452
90430,90430,90430,90430
14710,12608,12900,6479
13349,11442,11153,5610
5064,4341,5127,4010
1625,1393,2758,4749
12244,10495,18667,20394
13001,11144,14602,19850
3896,3340,7402,19805
3853,3302,6772,8904
9529,8168,7562,7813
3123,2677,4701,3983
10374,8892,8179,7573
4493,3851,7034,8744
2210,1895,3250,7504
1548,1327,2678,2186
723,620,2765,2990
2284,1958,3438,2913
1403,1403,1403,1403
1155,812,482,143
24,24,24,24
11,11,11,11
1026,879,891,667
372,319,389,206
857,735,1844,2797
232,232,232,232
117,101,204,166
352,301,612,498
193,165,336,273
221,189,385,313
3,3,6,8
140,120,290,352
400,343,716,803
161,138,287,322
1325,1135,1925,1601
113,97,168,183
396,340,586,640
417,358,760,799
30,26,41,47
205,176,284,323
860,737,1190,1358
87,75,120,137
402,344,568,759
211,181,319,231
1249,1071,2284,1566
1537,1537,1537,1537
2829,2425,2949,7459
3361,2881,5176,4636
2120,1818,6940,15022
13897,11912,8855,7609
1957,1678,2904,5191
1413,1211,2532,3127
1032,885,1653,1690
1276,1093,2508,2335
3899,3342,6175,7106
1686,1445,3009,5639
4061,3481,7248,13584
20302,17401,13441,11322
39200,27582,9029,21539
1174,1006,2626,3221
2282,1956,4181,4761
4582,3928,5279,8496
442,379,940,1001
10987,9417,8975,2817
1237,1061,3028,3797
2035,1744,4657,5537
5809,4979,8005,6057
389,333,660,617
189,162,322,331
162,139,249,265
80,69,160,173
37,32,88,138
1637,1403,2236,1689
1235,1059,2142,1589
256,220,452,563
124,107,220,273
142,122,266,400
186,159,261,309
274,235,362,244
153,131,377,403
65,56,130,120
64,54,186,191
18,18,18,18
533,457,839,694
1288,1104,2029,1677
37,31,75,95
565,484,890,736
1608,1379,2533,2094
48,41,127,206
596,511,639,688
74,63,149,171
237,203,478,551
172,147,264,307
1147,983,1759,2048
567,486,407,180
1700,1457,1220,541
1821,1561,1307,580
707,606,322,465
1433,1228,686,506
